Table_Title,Page,ARV_Drug,Other_Drug,Interaction_Effect,Recommendations,Additional_Details
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Date of current publication | None_2: October 7, 2025"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Highlights of changes, | None_2: • Identifying Drug-Drug Interactions > Risks of Concomitant Drug Use section: Updated"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: additions, and updates in | None_2: discussion of potent inducers"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: the October 7, 2025 | None_2: discussion of potent inducers"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: the October 7, 2025 | None_2: • Drug-Drug Interactions by Antiviral Medication Class section: Updated information on"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: edition | None_2: • Drug-Drug Interactions by Antiviral Medication Class section: Updated information on"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: edition | None_2: lenacapavir (LEN) interactions to specify when used for HIV treatment (see Table 19A) and"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: edition | None_2: when used for HIV prevention (see Table 19B)"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: edition | None_2: • Drug-Drug Interactions by Common Medication Class section: Updated the following"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: edition | None_2: tables with information on LEN interactions when used for HIV prevention:"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: edition | None_2: ‒ Table 30: Inhaled and Injected Corticosteroids"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: edition | None_2: ‒ Table 35: Anticonvulsants"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: edition | None_2: ‒ Table 45: Rifamycins and Other Antituberculosis Medications"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: edition | None_2: Clinicians who prescribe and manage antiretroviral therapy for the prevention and"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: edition | None_2: treatment of HIV"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Lead author | None_2: John J. Faragon, PharmD, BCPS, AAHIVP"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Writing group | None_2: Rona M. Vail, MD, AAHIVS; Sanjiv S. Shah, MD, MPH, AAHIVS; Steven M. Fine, MD, PhD;"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Writing group | None_2: Joseph P. McGowan, MD, FACP, FIDSA, AAHIVS; Samuel T. Merrick, MD, FIDSA; Asa E. Radix,"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Writing group | None_2: MD, MPH, PhD, FACP, AAHIVS; Jessica Rodrigues, MPH, MS; Christopher J. Hoffmann, MD,"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Writing group | None_2: MPH, MSc, FACP; Brianna L. Norton, DO, MPH; Charles J. Gonzalez, MD"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Author and writing group | None_1: There are no author or writing group conflict of interest disclosures. | None_2: There are no author or writing group conflict of interest disclosures."
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: conflict of interest | None_1: There are no author or writing group conflict of interest disclosures. | None_2: There are no author or writing group conflict of interest disclosures."
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: disclosures | None_1: There are no author or writing group conflict of interest disclosures. | None_2: There are no author or writing group conflict of interest disclosures."
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Date of original publication | None_2: April 25, 2019"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Committee | None_2: Medical Care Criteria Committee"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Developer and funder | None_2: New York State Department of Health AIDS Institute (NYSDOH AI)"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Development process | None_2: See Supplement: Guideline Development and Recommendation Ratings"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Related NYSDOH AI | None_2: Guideline"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: resources | None_2: Guideline"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: resources | None_2: • Rapid ART Initiation"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: resources | None_2: Podcast"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: resources | None_2: • Viremic—Cases in HIV"
Untitled Table,4,Not Specified,,,,
Untitled Table,5,Not Specified,,,,
Untitled Table,6,Not Specified,,,,
Untitled Table,7,Not Specified,,,,
Untitled Table,8,Not Specified,,,,
"Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions, below, shows the influence of specific ARVs on liver",9,Mechanisms of Antiretroviral (ARV) Drug-Drug,,,,"None: For patients:
• Drug Interaction Checker
(WebMD)
• HIV Drug Guide
(Positively Aware)
• HIV Treatment:
Everything You Need to
Know
(The Body)"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Cited references are listed at bottom of table; also see prescribing information.,,Cited references are listed at bottom of table; also see prescribing information.,,
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Cited references are listed at bottom of table; also see prescribing information.,,Cited references are listed at bottom of table; also see prescribing information.,,None: CYP Substrate | None_1: CYP Inhibitor | None_2: CYP Inducer | None_3: UGT1A1 | None_4: Drug Transport Protein | None_5: Other
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Integrase Strand Inhibitors (INSTIs),,Integrase Strand Inhibitors (INSTIs),,None: CYP Substrate | None_1: CYP Inhibitor | None_2: CYP Inducer | None_3: UGT1A1 | None_4: Drug Transport Protein | None_5: Other
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Integrase Strand Inhibitors (INSTIs),,Integrase Strand Inhibitors (INSTIs),,"None: 3A4 (minor) | None_1: — | None_2: — | None_3: Substrate | None_4: Inhibitor of MATE1, OCT2 | None_5: Chelation"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Integrase Strand Inhibitors (INSTIs),,Integrase Strand Inhibitors (INSTIs),,"None: — | None_1: — | None_2: — | None_3: Substrate | None_4: P-gP substrate; OATP1
inhibitor | None_5: —"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Integrase Strand Inhibitors (INSTIs),,Integrase Strand Inhibitors (INSTIs),,"None: 3A4 (minor) | None_1: — | None_2: — | None_3: Substrate | None_4: P-gP substrate; Inhibitor
of MATE2, OCT2 | None_5: Chelation"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Integrase Strand Inhibitors (INSTIs),,Integrase Strand Inhibitors (INSTIs),,None: 3A4 | None_1: — | None_2: 2C9 | None_3: Substrate | None_4: — | None_5: Chelation
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Integrase Strand Inhibitors (INSTIs),,Integrase Strand Inhibitors (INSTIs),,None: — | None_1: — | None_2: — | None_3: Substrate | None_4: — | None_5: Chelation
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Pharmacokinetic Boosters,,Pharmacokinetic Boosters,,None: — | None_1: — | None_2: — | None_3: Substrate | None_4: — | None_5: Chelation
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Pharmacokinetic Boosters,,Pharmacokinetic Boosters,,"None: 3A4, 2D6 (minor) | None_1: 3A4, 2D6 (minor) | None_2: — | None_3: — | None_4: Inhibitor of P-gP, BCRP,
OATP, OCT, MATE1 | None_5: —"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Pharmacokinetic Boosters,,Pharmacokinetic Boosters,,"None: 3A4, 2D6 (minor) | None_1: 3A4, 2C8, 2C9, 2C19, 2D6 | None_2: 1A2, 2B6, 2C9, 2C19 | None_3: Inducer | None_4: Inhibitor of P-gP, BCRP,
OATP, OCT, MATE1 | None_5: —"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Protease Inhibitors (PIs),,Protease Inhibitors (PIs),,"None: 3A4, 2D6 (minor) | None_1: 3A4, 2C8, 2C9, 2C19, 2D6 | None_2: 1A2, 2B6, 2C9, 2C19 | None_3: Inducer | None_4: Inhibitor of P-gP, BCRP,
OATP, OCT, MATE1 | None_5: —"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Protease Inhibitors (PIs),,Protease Inhibitors (PIs),,"None: 3A4 | None_1: 3A4, 2C8 (minor) | None_2: — | None_3: Inhibitor | None_4: P-gP substrate, inhibitor,
inducer; OATP inhibitor | None_5: GI absorption (pH-
dependent)"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Protease Inhibitors (PIs),,Protease Inhibitors (PIs),,"None: 3A4 | None_1: 3A4 | None_2: 2C9 | None_3: — | None_4: P-gP substrate; OATP
inhibitor | None_5: —"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Non-Nucleoside Reverse Transcriptase Inhibitors (NNRTIs),,Non-Nucleoside Reverse Transcriptase Inhibitors (NNRTIs),,"None: 3A4 | None_1: 3A4 | None_2: 2C9 | None_3: — | None_4: P-gP substrate; OATP
inhibitor | None_5: —"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Non-Nucleoside Reverse Transcriptase Inhibitors (NNRTIs),,Non-Nucleoside Reverse Transcriptase Inhibitors (NNRTIs),,"None: 3A4, 3A5 | None_1: — | None_2: — | None_3: — | None_4: — | None_5: —"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Non-Nucleoside Reverse Transcriptase Inhibitors (NNRTIs),,Non-Nucleoside Reverse Transcriptase Inhibitors (NNRTIs),,"None: 2B6 (primary), 2A6, 3A4 | None_1: 3A4 | None_2: 3A4, 2B6 | None_3: — | None_4: — | None_5: —"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Non-Nucleoside Reverse Transcriptase Inhibitors (NNRTIs),,Non-Nucleoside Reverse Transcriptase Inhibitors (NNRTIs),,"None: 3A4, 2C9, 2C19 | None_1: 2C9, 2C19 | None_2: 3A4 | None_3: — | None_4: P-gP inducer | None_5: —"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Non-Nucleoside Reverse Transcriptase Inhibitors (NNRTIs),,Non-Nucleoside Reverse Transcriptase Inhibitors (NNRTIs),,"None: 3A4 | None_1: — | None_2: — | None_3: — | None_4: — | None_5: GI absorption (pH-
dependent)"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Nucleoside Reverse Transcriptase Inhibitors (NRTIs),,Nucleoside Reverse Transcriptase Inhibitors (NRTIs),,"None: 3A4 | None_1: — | None_2: — | None_3: — | None_4: — | None_5: GI absorption (pH-
dependent)"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Nucleoside Reverse Transcriptase Inhibitors (NRTIs),,Nucleoside Reverse Transcriptase Inhibitors (NRTIs),,"None: — | None_1: — | None_2: — | None_3: Substrate | None_4: — | None_5: Alcohol dehydrogenase
substrate"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Nucleoside Reverse Transcriptase Inhibitors (NRTIs),,Nucleoside Reverse Transcriptase Inhibitors (NRTIs),,None: — | None_1: — | None_2: — | None_3: — | None_4: MATE1 substrate | None_5: —
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Nucleoside Reverse Transcriptase Inhibitors (NRTIs),,Nucleoside Reverse Transcriptase Inhibitors (NRTIs),,"None: — | None_1: — | None_2: — | None_3: — | None_4: Substrate of MATE1/2,
OCT2 | None_5: —"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Nucleoside Reverse Transcriptase Inhibitors (NRTIs),,Nucleoside Reverse Transcriptase Inhibitors (NRTIs),,"None: 3A4 (minor) | None_1: — | None_2: — | None_3: — | None_4: Substrate of P-gP, BCRP,
OATP | None_5: —"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,11,Cited references are listed at bottom of table; also see prescribing information.,,Cited references are listed at bottom of table; also see prescribing information.,,
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,11,Cited references are listed at bottom of table; also see prescribing information.,,Cited references are listed at bottom of table; also see prescribing information.,,None: CYP Substrate | None_1: CYP Inhibitor | None_2: CYP Inducer | None_3: UGT1A1 | None_4: Drug Transport Protein | None_5: Other
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,11,Cited references are listed at bottom of table; also see prescribing information.,,Cited references are listed at bottom of table; also see prescribing information.,,"None: — | None_1: — | None_2: — | None_3: — | None_4: Substrate of P-gP, OATP,
MRP | None_5: —"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,11,Entry Inhibitors (EIs),,Entry Inhibitors (EIs),,"None: — | None_1: — | None_2: — | None_3: — | None_4: Substrate of P-gP, OATP,
MRP | None_5: —"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,11,Entry Inhibitors (EIs),,Entry Inhibitors (EIs),,"None: 3A4 | None_1: — | None_2: — | None_3: — | None_4: Substrate of P-gP, BCRP;
Inhibitor of OATP, BCRP | None_5: —"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,11,Entry Inhibitors (EIs),,Entry Inhibitors (EIs),,None: — | None_1: — | None_2: — | None_3: — | None_4: — | None_5: —
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,11,Entry Inhibitors (EIs),,Entry Inhibitors (EIs),,None: 3A4 | None_1: — | None_2: — | None_3: — | None_4: P-gP substrate | None_5: —
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,11,Capsid Inhibitor,,Capsid Inhibitor,,None: 3A4 | None_1: — | None_2: — | None_3: — | None_4: P-gP substrate | None_5: —
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,11,Capsid Inhibitor,,Capsid Inhibitor,,None: 3A4 (minor) | None_1: 3A4 (moderate) | None_2: — | None_3: Substrate (minor) | None_4: P-gP substrate | None_5: —
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,11,Capsid Inhibitor,,Capsid Inhibitor,,None: 3A4 (minor) | None_1: 3A4 (moderate) | None_2: — | None_3: Substrate (minor) | None_4: P-gP substrate | None_5: —
Table 2: Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,12,Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,,,,None: Ritonavir | None_1: Cobicistat
Table 2: Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,12,Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,,Cytochrome,,None: Ritonavir | None_1: Cobicistat
Table 2: Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,12,Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,,Cytochrome,,None: Moderate inducer | None_1: Clinically negligible effect
Table 2: Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,12,Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,,Cytochrome,,None: Moderate inducer | None_1: Clinically negligible effect
Table 2: Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,12,Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,,Cytochrome,,None: Moderate inhibitor | None_1: Clinically negligible effect
Table 2: Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,12,Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,,Cytochrome,,None: Moderate inducer | None_1: Clinically negligible effect
Table 2: Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,12,Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,,Cytochrome,,None: Strong inducer | None_1: Clinically negligible effect
Table 2: Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,12,Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,,Cytochrome,,None: Moderate inhibitor | None_1: Mild inhibitor
Table 2: Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,12,Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,,Cytochrome,,None: Strong inhibitor | None_1: Strong inhibitor
Table 2: Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,12,Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,,Transporter,,None: Strong inhibitor | None_1: Strong inhibitor
Table 2: Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,12,Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,,Transporter,,None: Moderate inhibitor | None_1: Moderate inhibitor
Table 2: Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,12,Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,,Transporter,,None: Moderate inducer | None_1: Clinically negligible effect
Table 2: Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,12,Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,,Transporter,,None: Moderate inhibitor | None_1: Moderate inhibitor
Table 2: Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,12,Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,,Transporter,,None: Moderate inhibitor | None_1: Moderate inhibitor
Table 2: Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,12,Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,,Transporter,,None: Moderate inhibitor | None_1: Moderate inhibitor
Table 2: Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,12,Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,,Transporter,,None: Moderate inhibitor | None_1: Moderate inhibitor
Table 2: Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,12,Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,,Transporter,,None: Clinically negligible effect | None_1: Clinically negligible effect
Table 2: Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,12,Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,,Transporter,,None: Clinically negligible effect | None_1: Clinically negligible effect
Table 2: Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,12,Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,,Transporter,,None: Weak inducer | None_1: Clinically negligible effect
Table 2: Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,12,Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,,Transporter,,None: Clinically negligible effect | None_1: Clinically negligible effect
Table 2: Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,12,Induction Potential of Ritonavir [a] and Cobicistat Used as Boosters,,Transporter,,None: Clinically negligible effect | None_1: Clinically negligible effect
Untitled Table,14,Not Specified,,,• Clinicians should consult an experienced HIV care provider for assistance in managing drug-drug interactions between,
Untitled Table,14,Not Specified,,,antiretroviral (ARV) agents and less common medications. (A3),
Table 3: Boosted Atazanavir (ATV) Interactions (also see prescribing information),15,Boosted Atazanavir (ATV),,,,None: Mechanism of Action | None_1: Clinical Comments
Table 3: Boosted Atazanavir (ATV) Interactions (also see prescribing information),15,Boosted Atazanavir (ATV),,,,"None: • ATV requires acidic gastric pH for absorption, and acid-
reducing agents interfere with ATV absorption.
• PPIs may markedly reduce ATV concentration and AUC. | None_1: • Unboosted ATV: Do not coadminister with PPIs if it is possible
to use an alternative acid-reducing agent, alternative PI, or
boosted ATV.
• Timing: Administer ≥12 hours before RTV- or COBI-boosted
ATV.
• ART-naive: Do not exceed omeprazole 20 mg per day or
equivalent (pantoprazole 40 mg; lansoprazole 30 mg;
esomeprazole 20 mg).
• ART-experienced: Not recommended; consultation with
experienced HIV care provider or GI specialist is recommended
before prescribing PPI. Treatment-experienced patients have
taken ART and, in most cases, have experienced treatment
failure. Heavily ART-experienced patients are more likely to
experience resistance mutations, which increase the risk of
virologic failure, and achlorhydria in the stomach, which
reduces gastric acid and thus gastric pH."
Table 3: Boosted Atazanavir (ATV) Interactions (also see prescribing information),15,Boosted Atazanavir (ATV),,,,"None: • ATV requires acidic gastric pH for absorption, and acid-
reducing agents interfere with ATV absorption.
• H2RAs reduce ATV absorption. | None_1: • ART-naive: Administer ATV 300 mg + RTV 100 mg
simultaneously with or ≥10 hours after H2RA.
‒ If patient is not taking TFV: Do not exceed famotidine 20 mg
twice per day (40 mg daily) or equivalent, e.g., nizatidine
150 mg twice per day (300 mg daily).
‒ If patient is taking TFV: Do not exceed famotidine 40 mg
twice per day (80 mg daily) or equivalent, e.g., nizatidine
300 mg twice per day (600 mg daily).
• ART-experienced: Administer ATV 300 mg + COBI 150 mg or
RTV 100 mg simultaneously with or ≥10 hours after H2RA.
• Pregnancy: In trimesters 2 and 3, increase dose of ATV to 400
mg per day with RTV 100 mg per day. (Volume of distribution
increases as duration of pregnancy increases, which can reduce
ATV levels, especially during second and third trimesters of
pregnancy.)
‒ H2RA use is contraindicated if pregnant patient takes TFV +
boosted ATV during pregnancy.
‒ If patient is pregnant and is taking TFV, ATV is dosed at 400
mg per day with RTV 100 mg per day; unboosted ATV is not
recommended."
Table 3: Boosted Atazanavir (ATV) Interactions (also see prescribing information),15,Boosted Atazanavir (ATV),,,,"None: ATV requires acidic gastric pH for absorption; acid-reducing
agents interfere with ATV absorption. | None_1: Antacids and all buffered medications: Administer ATV at least 2
hours before or 1 to 2 hours after."
Table 3: Boosted Atazanavir (ATV) Interactions (also see prescribing information),16,Boosted Atazanavir (ATV),,,,None: Mechanism of Action | None_1: Clinical Comments
Table 3: Boosted Atazanavir (ATV) Interactions (also see prescribing information),16,Boosted Atazanavir (ATV),,,,"None: Boosted or unboosted ATV (i.e., with or without COBI or RTV)
inhibits CYP3A4 and other transporters. | None_1: • Alfuzosin, silodosin Concomitant use is contraindicated.
• Doxazosin, terazosin: PIs may be used concurrently; potential
increases in doxazosin and terazosin levels are possible. Dose
reduction may be necessary.
• Tamsulosin: Avoid unless benefits outweigh risk. If used
together, monitor for tamsulosin-associated adverse effects,
such as hypotension."
Table 3: Boosted Atazanavir (ATV) Interactions (also see prescribing information),16,Boosted Atazanavir (ATV),,,,"None: • Simvastatin and lovastatin are substrates for CYP3A4, CYP2D6,
OATP1B1, and drug transporter P-gP; boosted ATV greatly
increases concentrations.
• COBI inhibits CYP3A4, CYP2D6, OATP1B1, and P-gP. | None_1: Concomitant use is contraindicated due to potential for
myopathy, including rhabdomyolysis. Consider using low doses of
alternative statins less likely to be affected by boosted ATV use."
Table 3: Boosted Atazanavir (ATV) Interactions (also see prescribing information),16,Boosted Atazanavir (ATV),,,,"None: • Pravastatin is a substrate for OATP1B1.
• ATV inhibits OATP1B1.
• Although moderate increases are possible, low doses are
considered safe when used with boosted PIs. | None_1: Use with lowest effective doses of pravastatin and pitavastatin,
and monitor for adverse effects, including myopathy and
rhabdomyolysis."
Table 3: Boosted Atazanavir (ATV) Interactions (also see prescribing information),16,Boosted Atazanavir (ATV),,,,"None: • Atorvastatin is a substrate for CYP3A4 and OATP1B1.
• Boosted ATV inhibits both CYP3A4 and OATP1B1.
• Boosted ATV may moderately increase concentrations. | None_1: • Use with lowest effective doses; monitor closely for safety and
efficacy before increasing statin dose.
• Do not coadminister with COBI-boosted ATV due to increased
risk of rhabdomyolysis and myopathy."
Table 3: Boosted Atazanavir (ATV) Interactions (also see prescribing information),16,Boosted Atazanavir (ATV),,,,"None: • Rosuvastatin is a substrate of OATP1B1/1B3.
• ATV inhibits OATP1B1.
• Boosted ATV may moderately increase concentrations. | None_1: • Use with lowest effective doses; monitor closely for safety and
efficacy before increasing statin dose.
• If use is necessary, do not exceed 10 mg per day."
Table 3: Boosted Atazanavir (ATV) Interactions (also see prescribing information),16,Boosted Atazanavir (ATV),,,,"None: Interaction has not been studied, but potential for moderate
increase is possible. | None_1: Do not coadminister. If use is required, use lowest effective dose;
monitor closely for safety and efficacy before increasing statin
dose."
Table 3: Boosted Atazanavir (ATV) Interactions (also see prescribing information),16,Boosted Atazanavir (ATV),,,,"None: • Boosted PIs inhibit most factor Xa inhibitors (not dabigatran)
via CYP3A or P-gP.
• ATV is a minor inhibitor of CYP2C8.
• RTV and COBI inhibit P-gP.
• Apixaban is a substrate of 2C8.
• Dabigatran is a substrate of P-gP.
• Warfarin: Metabolism of warfarin could potentially decrease
(or more rarely) increase.
• Rivaroxaban, dabigatran, apixaban: Concentrations may
increase, increasing bleeding risk. | None_1: • Avoid concomitant use or use lowest effective dose of factor
Xa inhibitor to avoid increased bleeding risk.
• Apixaban: Reduce apixaban dose to 2.5 mg twice per day; if
patient is already taking 2.5 mg twice per day, avoid
concomitant use.
• Dabigatran:
‒ Separate doses of dabigatran and boosted PIs by at least 2
hours.
‒ RTV boosting of PIs may be safer than COBI boosting with
concomitant dabigatran [Kakadiya, et al. 2018].
‒ Avoid dabigatran in patients with renal impairment (CrCl
<50 mL/min) who are taking boosted PIs."
Table 3: Boosted Atazanavir (ATV) Interactions (also see prescribing information),17,Boosted Atazanavir (ATV),,,,None: Mechanism of Action | None_1: Clinical Comments
Table 3: Boosted Atazanavir (ATV) Interactions (also see prescribing information),17,Boosted Atazanavir (ATV),,,,"None_1: • Edoxaban:
‒ For stroke prevention in patients with nonvalvular atrial
fibrillation: No dose adjustments are necessary.
‒ For patients with DVT and PE: Administer edoxaban 30 mg
once daily.
• Rivaroxaban: Do not coadminister.
• Warfarin: Use cautiously with warfarin; if use is necessary,
increase INR monitoring.
‒ If INR increases, decrease warfarin dose.
‒ If INR decreases, increase warfarin dose slowly."
